,0,1,2,3,4
J7EXTGK,"('K6QO', 0.9975020289421082)","('PYUQ', 0.0015933477552607)","('RIBP', 0.0003097772132605)","('N2MW', 0.0001646774762775)","('GHYX', 0.0001347202342003)"
WUXE95B,"('RVSZ', 0.9996715784072876)","('GHYX', 0.0001697581756161)","('PYUQ', 8.516494563082233e-05)","('QBOL', 2.6441786758368835e-05)","('SOP4', 2.447131191729568e-05)"
7UJ107B,"('RVSZ', 0.999811828136444)","('QBOL', 4.479257404454984e-05)","('RIBP', 3.5688059142557904e-05)","('GHYX', 3.3869786420837045e-05)","('N2MW', 2.5935107260011137e-05)"
FJ7VCME,"('RIBP', 0.6689096093177795)","('7POT', 0.1097520440816879)","('PYUQ', 0.0755030140280723)","('RVSZ', 0.0410789996385574)","('QBOL', 0.0402583926916122)"
0SHO61K,"('RVSZ', 0.9997207522392272)","('GHYX', 0.0001296869886573)","('QBOL', 5.68500800000038e-05)","('PYUQ', 2.985877108585555e-05)","('7POT', 1.992246507143136e-05)"
MHESE03,"('RVSZ', 0.9997429251670836)","('QBOL', 0.0001335579290753)","('GHYX', 6.559662870131433e-05)","('SOP4', 1.4619707144447602e-05)","('N2MW', 1.05997605714947e-05)"
NOPQOJU,"('RVSZ', 0.999761402606964)","('GHYX', 0.0001201615450554)","('PYUQ', 3.3134456316474825e-05)","('LJR9', 2.173808752559125e-05)","('7POT', 1.6048452380346134e-05)"
74EJIR6,"('QBOL', 0.472582995891571)","('RVSZ', 0.3736979365348816)","('SOP4', 0.0443498492240905)","('PYUQ', 0.0399780645966529)","('LJR9', 0.0184809360653162)"
VMDYHXG,"('RVSZ', 0.721848726272583)","('GHYX', 0.1991240233182907)","('PYUQ', 0.0698520392179489)","('LJR9', 0.0023791855201125)","('N2MW', 0.0011656036367639)"
CXK0FUI,"('QBOL', 0.8501253128051758)","('K6QO', 0.0973908230662345)","('PYUQ', 0.0197063535451889)","('ECY3', 0.0159977301955223)","('RIBP', 0.0036628379020839)"
1N3C5V5,"('ECY3', 0.959976077079773)","('QBOL', 0.035904087126255)","('PYUQ', 0.0017272219993174)","('N2MW', 0.0005203580949455)","('JWFN', 0.0004608763556461)"
2U4D5I0,"('RVSZ', 0.9998303651809692)","('GHYX', 9.032386151375248e-05)","('PYUQ', 2.2786194676882587e-05)","('QBOL', 2.03980234800838e-05)","('RIBP', 1.2094064913981128e-05)"
E98HL37,"('K6QO', 0.9972025156021118)","('QBOL', 0.0012497323332354)","('N2MW', 0.0004414908471517)","('GHYX', 0.0004008612886536)","('ECY3', 0.0002281883207615)"
3CUM65I,"('RVSZ', 0.9999043941497804)","('PYUQ', 3.013401146745309e-05)","('GHYX', 2.4185503207263537e-05)","('N2MW', 1.2026845070067791e-05)","('QBOL', 6.516713256132789e-06)"
OU5KPUK,"('RVSZ', 0.7898573279380798)","('GHYX', 0.068409651517868)","('PYUQ', 0.0659976601600647)","('RIBP', 0.01905033364892)","('7POT', 0.0171199180185794)"
1T8BSI5,"('RVSZ', 0.9994669556617736)","('GHYX', 0.0004028396797366)","('PYUQ', 2.52086429100018e-05)","('N2MW', 2.297982246091124e-05)","('JWFN', 2.19139128603274e-05)"
2WTZANT,"('K6QO', 0.9959255456924438)","('QBOL', 0.0020813450682908)","('GHYX', 0.0014184940373525)","('ECY3', 0.0001504835381638)","('N2MW', 7.958541391417384e-05)"
TFG46TJ,"('RVSZ', 0.9419459700584412)","('PYUQ', 0.0285185575485229)","('GHYX', 0.0138383414596319)","('JZ9D', 0.0049377433024346)","('LJR9', 0.0022131232544779)"
SEU5X8S,"('K6QO', 0.9189176559448242)","('QBOL', 0.0609477758407592)","('PYUQ', 0.0085796220228075)","('GHYX', 0.0041241841390728)","('ECY3', 0.003430516924709)"
H6M982C,"('QBOL', 0.8582121729850769)","('RVSZ', 0.077935479581356)","('PYUQ', 0.0199424065649509)","('GHYX', 0.0109631475061178)","('ECY3', 0.0100566418841481)"
92DZKPF,"('K6QO', 0.985431969165802)","('QBOL', 0.0077443867921829)","('GHYX', 0.0024309686850756)","('PYUQ', 0.0020599523559212)","('N2MW', 0.0007198179373517)"
HGTATGP,"('RVSZ', 0.9994267225265504)","('GHYX', 0.0004440627526491)","('QBOL', 5.519973638001829e-05)","('AHXO', 2.3472039174521345e-05)","('N2MW', 1.0436186130391434e-05)"
9OTMOH1,"('RVSZ', 0.9994809031486512)","('RIBP', 0.0001650216290727)","('N2MW', 0.0001015828456729)","('LJR9', 8.252367842942476e-05)","('GHYX', 7.725568866590038e-05)"
2OFNWOU,"('J9JW', 0.9992544054985046)","('PYUQ', 0.0003122870984952)","('QBOL', 0.0001937066263053)","('GHYX', 0.0001335839770035)","('RVSZ', 4.168921441305429e-05)"
JROGG40,"('K6QO', 0.9986409544944764)","('GHYX', 0.0007671898347325)","('QBOL', 0.0004228815960232)","('ECY3', 2.809061879816e-05)","('RIBP', 2.757297443167772e-05)"
SKOWL4T,"('K6QO', 0.9954146146774292)","('QBOL', 0.0027334888000041)","('GHYX', 0.0004885653033852)","('ECY3', 0.0003000727447215)","('PYUQ', 0.0002704509242903)"
MSPUA9W,"('K6QO', 0.975467085838318)","('QBOL', 0.019270546734333)","('PYUQ', 0.0016452060081064)","('GHYX', 0.0011687872465699)","('ECY3', 0.0005598508869297)"
BUKU7LS,"('QBOL', 0.5032885670661926)","('RVSZ', 0.4302290976047516)","('GHYX', 0.0335703492164611)","('BSTQ', 0.0115618770942091)","('N2MW', 0.0040906490758061)"
CGFRLFO,"('K6QO', 0.9808223843574524)","('PYUQ', 0.0047477777116)","('QBOL', 0.0041284612379968)","('GHYX', 0.0028746104799211)","('RIBP', 0.002800220856443)"
1KUAO7O,"('J9JW', 0.9994121789932252)","('QBOL', 0.0001496685290476)","('PYUQ', 0.0001495277101639)","('GHYX', 0.0001478381018387)","('RVSZ', 8.85223998920992e-05)"
EIVOFU4,"('K6QO', 0.9991334080696106)","('QBOL', 0.0004109271976631)","('GHYX', 7.293520320672542e-05)","('PYUQ', 6.767214654246345e-05)","('RIBP', 6.657662015641108e-05)"
O9Q8C48,"('K6QO', 0.9214637875556946)","('QBOL', 0.0440811663866043)","('GHYX', 0.0275816451758146)","('ECY3', 0.0013856276636943)","('BSTQ', 0.0010275224922224)"
39VEXAR,"('K6QO', 0.985258400440216)","('PYUQ', 0.0032996353693306)","('7POT', 0.0030506281182169)","('66FJ', 0.0029208655469119)","('RIBP', 0.0016011449042707)"
W69NY8W,"('K6QO', 0.5210739374160767)","('QBOL', 0.357337474822998)","('ECY3', 0.0417279750108718)","('SOP4', 0.0324571505188941)","('7POT', 0.0099334269762039)"
S7C5Z2D,"('QBOL', 0.7455977201461792)","('GHYX', 0.1359494179487228)","('RIBP', 0.0589429847896099)","('ECY3', 0.0214990247040987)","('N2MW', 0.0178144257515668)"
Y2YVAT3,"('K6QO', 0.9679364562034608)","('QBOL', 0.0231537260115146)","('PYUQ', 0.0015048997011035)","('66FJ', 0.0013519364874809)","('GHYX', 0.0010166170541197)"
6SH7WFZ,"('K6QO', 0.9971985816955566)","('QBOL', 0.0022205470595508)","('ECY3', 0.0001170362593256)","('N2MW', 0.000116867282486)","('PYUQ', 9.23792104003951e-05)"
MA4BIRL,"('RIBP', 0.9788876175880432)","('K6QO', 0.0158942639827728)","('66FJ', 0.0011815527686849)","('8NN1', 0.000886550056748)","('PYUQ', 0.0006789854378439)"
ZUWV4B6,"('AHXO', 0.7732366919517517)","('RVSZ', 0.1294230967760086)","('QBOL', 0.0604306794703006)","('GHYX', 0.0161853432655334)","('RIBP', 0.0070404061116278)"
3MFG325,"('GHYX', 0.4300182163715362)","('PYUQ', 0.18594890832901)","('ECY3', 0.131438672542572)","('JWFN', 0.0621968545019626)","('N2MW', 0.0516556687653064)"
M35DTIB,"('K6QO', 0.981736421585083)","('QBOL', 0.0158159937709569)","('GHYX', 0.0005500648985616)","('ECY3', 0.0005139289423823)","('PYUQ', 0.0004384752828627)"
4T0ZN2R,"('AHXO', 0.895881712436676)","('RIBP', 0.0622726567089557)","('QBOL', 0.0137614039704203)","('RVSZ', 0.0080338753759861)","('GHYX', 0.0067331246100366)"
3EDQDOL,"('RVSZ', 0.9996192455291748)","('N2MW', 0.0001787409273674)","('GHYX', 5.387359487940557e-05)","('QBOL', 5.135871469974518e-05)","('7POT', 2.534502709750086e-05)"
7RKH0UO,"('RVSZ', 0.9996848106384276)","('GHYX', 0.0001984399568755)","('QBOL', 4.840737528866157e-05)","('PYUQ', 1.4784451195737349e-05)","('N2MW', 1.4083561836741865e-05)"
ZSNMNWO,"('RVSZ', 0.9996821880340576)","('GHYX', 0.0001411634293617)","('QBOL', 7.9354242188856e-05)","('PYUQ', 4.747377533931285e-05)","('N2MW', 1.5340025129262358e-05)"
MYTIOXE,"('K6QO', 0.679732084274292)","('PYUQ', 0.2398416101932525)","('QBOL', 0.0549150854349136)","('ECY3', 0.0108334561809897)","('GHYX', 0.0084822308272123)"
NE5DXJI,"('K6QO', 0.9921053647994996)","('QBOL', 0.0034122343640774)","('GHYX', 0.0026984745636582)","('ECY3', 0.0010589835001155)","('N2MW', 0.0002042534324573)"
T6S9A6S,"('K6QO', 0.9941076040267944)","('GHYX', 0.003780516795814)","('QBOL', 0.0009990725666284)","('N2MW', 0.0003299369127489)","('ECY3', 0.0003202991792932)"
1MUPCCG,"('RVSZ', 0.9993137121200562)","('GHYX', 0.0004575433267746)","('LJR9', 0.0001246692700078)","('PYUQ', 3.1478852179134265e-05)","('N2MW', 2.5930370611604303e-05)"
REIVMOZ,"('K6QO', 0.9979649782180786)","('QBOL', 0.0011242207838222)","('GHYX', 0.0003405134484637)","('N2MW', 0.0002171874657506)","('PYUQ', 6.944575579836965e-05)"
XJ33QYM,"('RVSZ', 0.999771773815155)","('GHYX', 4.904114393866621e-05)","('QBOL', 3.785943044931628e-05)","('PYUQ', 2.52783065661788e-05)","('RIBP', 2.4147931981133297e-05)"
CS7KOFE,"('RVSZ', 0.9993465542793274)","('GHYX', 0.0004671724163927)","('PYUQ', 9.11232637008652e-05)","('QBOL', 2.9841730793123133e-05)","('RIBP', 1.35664349727449e-05)"
F40A0PL,"('K6QO', 0.990854263305664)","('QBOL', 0.0072889286093413)","('GHYX', 0.0008012757170945)","('ECY3', 0.0004531652666628)","('AHXO', 0.0001409025280736)"
DFXKCJQ,"('RVSZ', 0.9997294545173644)","('GHYX', 7.222430576803163e-05)","('N2MW', 6.725898128934205e-05)","('QBOL', 3.2349202228942886e-05)","('AHXO', 2.610311275930144e-05)"
HH4FVFY,"('K6QO', 0.9736624360084534)","('QBOL', 0.0196324437856674)","('GHYX', 0.0031859946902841)","('ECY3', 0.0011424625990912)","('N2MW', 0.0006702961982227)"
CDALQVV,"('RVSZ', 0.999659538269043)","('GHYX', 0.0002479769755154)","('QBOL', 2.965718522318639e-05)","('N2MW', 1.816119220166001e-05)","('PYUQ', 9.342368684883697e-06)"
YRSFI5F,"('QBOL', 0.4586580395698547)","('GHYX', 0.4022503793239593)","('RIBP', 0.0597762875258922)","('ECY3', 0.0440868958830833)","('N2MW', 0.0088638868182897)"
4E7FEH3,"('RVSZ', 0.9999072551727296)","('GHYX', 3.302747427369468e-05)","('N2MW', 1.596900256117806e-05)","('QBOL', 1.340121070825262e-05)","('PYUQ', 8.377894118893892e-06)"
TE10PZT,"('RVSZ', 0.9998635053634644)","('GHYX', 3.839199052890763e-05)","('N2MW', 2.9425969842122868e-05)","('QBOL', 1.715373946353793e-05)","('ECY3', 1.5704030374763533e-05)"
8Q09JGQ,"('K6QO', 0.9409447312355042)","('QBOL', 0.0480316057801246)","('PYUQ', 0.0023646987974643)","('GHYX', 0.0023546151351183)","('66FJ', 0.0022102880757302)"
X2YQFTW,"('K6QO', 0.9975112676620485)","('QBOL', 0.00191950739827)","('ECY3', 0.0001406565861543)","('N2MW', 0.0001195988661493)","('PYUQ', 9.751642937771976e-05)"
KC4IFJ2,"('K6QO', 0.9918392300605774)","('GHYX', 0.0053302394226193)","('ECY3', 0.0005068990867584)","('N2MW', 0.000394760427298)","('PYUQ', 0.0003715188649948)"
YGSUQS2,"('K6QO', 0.9868136644363404)","('GHYX', 0.0091258250176906)","('ECY3', 0.0009332642075605)","('PYUQ', 0.000727689708583)","('66FJ', 0.0006632311851717)"
M0XGUQV,"('RVSZ', 0.9996724128723145)","('GHYX', 0.0001965484261745)","('RIBP', 5.0540715164970607e-05)","('PYUQ', 2.009454692597501e-05)","('N2MW', 1.6898389731068164e-05)"
R87WG9K,"('RVSZ', 0.9998173117637634)","('GHYX', 5.3067135013407096e-05)","('QBOL', 2.200298331445083e-05)","('JWFN', 1.9255949155194685e-05)","('N2MW', 1.8987195289810188e-05)"
YXX809I,"('PYUQ', 0.6503785848617554)","('QBOL', 0.1809672564268112)","('K6QO', 0.1128157898783683)","('ECY3', 0.0359792970120906)","('GHYX', 0.0070463325828313)"
M00PRU1,"('QBOL', 0.5099854469299316)","('ECY3', 0.1944532543420791)","('K6QO', 0.1760286837816238)","('PYUQ', 0.0680399611592292)","('GHYX', 0.0394917018711566)"
NZFSJ3W,"('ECY3', 0.5202131867408752)","('K6QO', 0.306686669588089)","('N2MW', 0.1545231342315673)","('QBOL', 0.0072913947515189)","('GHYX', 0.0064871050417423)"
M3QGEKC,"('RVSZ', 0.5644165873527527)","('QBOL', 0.4060429036617279)","('PYUQ', 0.0175056662410497)","('ECY3', 0.0030315201729536)","('N2MW', 0.002318191807717)"
P53MHK2,"('RVSZ', 0.99927419424057)","('GHYX', 0.0005475893849506)","('PYUQ', 0.0001085257390514)","('QBOL', 2.0466097339522094e-05)","('RIBP', 1.0583117727946956e-05)"
DON25OF,"('RVSZ', 0.9996442794799804)","('GHYX', 7.967866986291483e-05)","('QBOL', 7.630376057932153e-05)","('66FJ', 3.00460342259612e-05)","('7POT', 2.811034210026264e-05)"
JTNZD6B,"('RVSZ', 0.4536332488059997)","('RIBP', 0.4194374680519104)","('SOP4', 0.0778684988617897)","('66FJ', 0.0223532188683748)","('8NN1', 0.0121759753674268)"
20XQD1D,"('RVSZ', 0.9996927976608276)","('GHYX', 9.498465078650042e-05)","('N2MW', 8.816167246550322e-05)","('PYUQ', 4.122548489249312e-05)","('66FJ', 1.913438791234512e-05)"
7ERLJ2A,"('RVSZ', 0.9998774528503418)","('GHYX', 2.840658089553472e-05)","('PYUQ', 1.639701622480061e-05)","('QBOL', 1.5829533367650583e-05)","('N2MW', 1.4042764632904436e-05)"
0PBTUJA,"('RVSZ', 0.7441390156745911)","('SOP4', 0.0678913593292236)","('RIBP', 0.0603695474565029)","('PYUQ', 0.0443113110959529)","('QBOL', 0.0170273557305336)"
ITTYON8,"('K6QO', 0.9242213368415833)","('QBOL', 0.0402735397219657)","('GHYX', 0.0313809216022491)","('RIBP', 0.0013859280152246)","('PYUQ', 0.0005539058474823)"
UF4FKCJ,"('RVSZ', 0.8274330496788025)","('PYUQ', 0.0622416734695434)","('QBOL', 0.0414228849112987)","('ECY3', 0.0193572957068681)","('RIBP', 0.0183012522757053)"
DBABHF4,"('RIBP', 0.9016852974891664)","('8NN1', 0.028493259102106)","('RVSZ', 0.0226568989455699)","('P5DA', 0.0137903308495879)","('7POT', 0.0082631222903728)"
SUE0ZKJ,"('8NN1', 0.6312440633773804)","('RIBP', 0.3031954169273376)","('K6QO', 0.0374185666441917)","('SOP4', 0.0113614117726683)","('LJR9', 0.0039238422177731)"
EWDFWTZ,"('K6QO', 0.9803534746170044)","('QBOL', 0.0140236020088195)","('GHYX', 0.002743023680523)","('P5DA', 0.0015168545069172)","('PYUQ', 0.0006549659301526)"
NT1NN72,"('RVSZ', 0.9994277358055116)","('PYUQ', 0.0004748630453832)","('GHYX', 3.509160887915641e-05)","('QBOL', 1.3679557014256716e-05)","('RIBP', 8.248817721323576e-06)"
KYM46KB,"('QBOL', 0.7484051585197449)","('RVSZ', 0.1370547264814376)","('ECY3', 0.0634192153811454)","('N2MW', 0.0207571722567081)","('GHYX', 0.0095788957551121)"
9ZYA2LV,"('RIBP', 0.6274497509002686)","('SOP4', 0.1883571743965149)","('66FJ', 0.0637319833040237)","('K6QO', 0.0462006144225597)","('8NN1', 0.0380676947534084)"
KN4BOHC,"('RVSZ', 0.999702513217926)","('GHYX', 0.0001562586403451)","('N2MW', 4.8760884965304285e-05)","('QBOL', 2.462327938701492e-05)","('PYUQ', 2.390781992289704e-05)"
370QCNM,"('PYUQ', 0.9970109462738036)","('QBOL', 0.0012308600125834)","('RVSZ', 0.0011821085354313)","('GHYX', 0.0001457043690606)","('N2MW', 5.659561429638416e-05)"
ZC8Y2ZE,"('RVSZ', 0.9998781681060792)","('GHYX', 3.0959567084209993e-05)","('QBOL', 2.800006404868327e-05)","('N2MW', 1.4365059541887604e-05)","('AHXO', 9.005848369270097e-06)"
54N8HUH,"('QBOL', 0.6367331743240356)","('K6QO', 0.2294598221778869)","('P5DA', 0.0575769580900669)","('GHYX', 0.0187632534652948)","('ECY3', 0.0093703735619783)"
NNMZ505,"('K6QO', 0.992492973804474)","('GHYX', 0.0022353462409228)","('PYUQ', 0.0011434074258431)","('ECY3', 0.0007714875973761)","('RIBP', 0.0006270579760894)"
58UB2R6,"('RVSZ', 0.938959300518036)","('GHYX', 0.0404382832348346)","('PYUQ', 0.0052058519795536)","('8NN1', 0.002290733391419)","('LJR9', 0.0021018616389483)"
KBNPQRU,"('K6QO', 0.999377429485321)","('QBOL', 0.0002745402161963)","('GHYX', 0.000123689052998)","('7POT', 6.044915426173248e-05)","('ECY3', 4.0155726310331374e-05)"
ZZYM5CT,"('RVSZ', 0.9998953342437744)","('QBOL', 3.702570393215865e-05)","('GHYX', 2.115640927513596e-05)","('N2MW', 9.16466160560958e-06)","('PYUQ', 8.107214853225742e-06)"
BD0K8CR,"('RVSZ', 0.9361774921417236)","('QBOL', 0.0366712547838687)","('ECY3', 0.0071458299644291)","('PYUQ', 0.0051114745438098)","('66FJ', 0.0036374635528773)"
MN1XWFC,"('K6QO', 0.9968509078025818)","('QBOL', 0.0013878092868253)","('PYUQ', 0.0010985890403389)","('GHYX', 0.0001868708641268)","('N2MW', 0.0001262967125512)"
WZLE87B,"('K6QO', 0.9777011275291444)","('GHYX', 0.0185454953461885)","('QBOL', 0.0027688164263963)","('RIBP', 0.000264461064944)","('ECY3', 0.0001905675599118)"
OVUKZ3Z,"('K6QO', 0.953877866268158)","('GHYX', 0.0401752591133117)","('QBOL', 0.0040708314627408)","('RIBP', 0.000728424580302)","('PYUQ', 0.0003002321172971)"
FH108OO,"('K6QO', 0.9558653235435486)","('QBOL', 0.0308259148150682)","('GHYX', 0.0050426288507878)","('ECY3', 0.0022493617143481)","('RIBP', 0.0014129789778962)"
8CNL137,"('QBOL', 0.9265084266662598)","('PYUQ', 0.0403729863464832)","('ECY3', 0.0215730275958776)","('JWFN', 0.0040758862160146)","('N2MW', 0.0008812516462057)"
Y7SERIK,"('K6QO', 0.9732479453086852)","('QBOL', 0.0199975278228521)","('PYUQ', 0.0022598712239414)","('GHYX', 0.001934494706802)","('ECY3', 0.0009993300773203)"
JAL4J2A,"('RVSZ', 0.9997541308403016)","('PYUQ', 8.524804434273392e-05)","('7POT', 5.823799438076094e-05)","('RIBP', 3.1298735848395154e-05)","('QBOL', 2.074028088827617e-05)"
C2JL6Q9,"('RVSZ', 0.9998397827148438)","('GHYX', 3.2650546927470714e-05)","('QBOL', 2.4936729460023344e-05)","('RIBP', 2.2321208234643564e-05)","('ECY3', 2.229369965789374e-05)"
C0B6JWI,"('K6QO', 0.9170318245887756)","('ECY3', 0.0530323795974254)","('QBOL', 0.018686044961214)","('GHYX', 0.0065332213416695)","('PYUQ', 0.0010438445024192)"
YF267NX,"('J9JW', 0.9917781352996826)","('GHYX', 0.0030527436174452)","('ECY3', 0.0019718115217983)","('JWFN', 0.0016187366563826)","('PYUQ', 0.0006343348650261)"
7AQG6UO,"('PYUQ', 0.6737820506095886)","('RVSZ', 0.2356727421283722)","('GHYX', 0.0796838328242302)","('7POT', 0.0023789445403963)","('LJR9', 0.0022880539763718)"
4SZ27BA,"('RVSZ', 0.9996843338012696)","('GHYX', 0.0001935777254402)","('QBOL', 3.717057188623585e-05)","('PYUQ', 2.7320020308252424e-05)","('N2MW', 1.9074177544098347e-05)"
24JQHY8,"('RIBP', 0.7505015730857849)","('GYSR', 0.1793094426393509)","('7POT', 0.0255876574665308)","('66FJ', 0.020578533411026)","('8NN1', 0.0086815897375345)"
4VXS8NM,"('RVSZ', 0.9996328353881836)","('GHYX', 0.0002256794832646)","('RIBP', 4.9921494792215526e-05)","('N2MW', 2.477385896781925e-05)","('QBOL', 1.5180887203314342e-05)"
TQ373DX,"('K6QO', 0.9899137020111084)","('QBOL', 0.0061042672023177)","('GHYX', 0.0011301912600174)","('N2MW', 0.000660192570649)","('ECY3', 0.0006566169904544)"
8J9JRR2,"('RVSZ', 0.9998264908790588)","('N2MW', 4.433293361216784e-05)","('QBOL', 3.538853707141243e-05)","('GHYX', 2.711806882871315e-05)","('RIBP', 1.173042255686596e-05)"
7IV5OF2,"('RIBP', 0.5282175540924072)","('K6QO', 0.1824741810560226)","('66FJ', 0.1381050795316696)","('QBOL', 0.07017382979393)","('SOP4', 0.0534890778362751)"
HHXK59H,"('K6QO', 0.9972262978553772)","('QBOL', 0.001132789067924)","('GHYX', 0.00065853347769)","('ECY3', 0.0003205043612979)","('N2MW', 0.0002115529641741)"
7Z0483H,"('J9JW', 0.987590193748474)","('QBOL', 0.0111803440377116)","('GHYX', 0.0003236287739127)","('RVSZ', 0.000321631290717)","('N2MW', 0.0001887675607576)"
OR1HZWW,"('K6QO', 0.9421344995498656)","('QBOL', 0.0526101402938365)","('GHYX', 0.0031004392076283)","('ECY3', 0.0012162465136498)","('PYUQ', 0.0002126131294062)"
W2BJYGI,"('K6QO', 0.9901849031448364)","('QBOL', 0.0059929871931672)","('GHYX', 0.0017657364951446)","('PYUQ', 0.0005458641680888)","('ECY3', 0.0005327500402927)"
2JGJPRH,"('RVSZ', 0.4548876285552978)","('FM3X', 0.2238479107618332)","('QBOL', 0.1559405922889709)","('BSTQ', 0.0726823657751083)","('GHYX', 0.0409550257027149)"
3R51N0C,"('RVSZ', 0.9998372793197632)","('GHYX', 6.753214984200895e-05)","('RIBP', 2.1064588509034365e-05)","('PYUQ', 1.940368201758247e-05)","('QBOL', 1.6376166968257166e-05)"
6T8G069,"('K6QO', 0.479550153017044)","('QBOL', 0.4717939496040344)","('GHYX', 0.0217937938868999)","('ECY3', 0.0058522289618849)","('N2MW', 0.0050765490159392)"
IQ5RQ39,"('K6QO', 0.8397015929222107)","('QBOL', 0.0604362338781356)","('GHYX', 0.0417666397988796)","('PYUQ', 0.0202752836048603)","('66FJ', 0.0140109714120626)"
Y0ZAKF3,"('K6QO', 0.938489556312561)","('QBOL', 0.0512285530567169)","('66FJ', 0.0040451851673424)","('PYUQ', 0.0010999203659594)","('8NN1', 0.0010884950170293)"
GYP6D3I,"('K6QO', 0.8875398635864258)","('QBOL', 0.0890058577060699)","('GHYX', 0.0129258017987012)","('PYUQ', 0.0073645622469484)","('ECY3', 0.0013637858210131)"
WNZH5S6,"('RVSZ', 0.5643081068992615)","('QBOL', 0.3418229520320892)","('BSTQ', 0.0359992682933807)","('GHYX', 0.0342414788901805)","('N2MW', 0.0087207909673452)"
DR89EAU,"('QBOL', 0.7137241959571838)","('JWFN', 0.1454371660947799)","('PYUQ', 0.0566801242530345)","('GHYX', 0.0203697215765714)","('RIBP', 0.0186205301433801)"
DFRKDX2,"('RVSZ', 0.999716818332672)","('GHYX', 0.000165799880051)","('N2MW', 3.312242552055977e-05)","('QBOL', 2.5576044208719395e-05)","('RIBP', 2.260882502014283e-05)"
HC0VQE4,"('RVSZ', 0.9999253749847412)","('GHYX', 1.763722684700042e-05)","('PYUQ', 1.583781158842612e-05)","('N2MW', 9.592908099875784e-06)","('66FJ', 9.535463505017104e-06)"
7CIDESS,"('QBOL', 0.9651833176612854)","('PYUQ', 0.013056332245469)","('GHYX', 0.0125073315575718)","('ECY3', 0.0053678005933761)","('SOP4', 0.0007006602245382)"
W4QQNTO,"('RVSZ', 0.9998364448547364)","('GHYX', 8.857011562213302e-05)","('QBOL', 1.7339591067866422e-05)","('PYUQ', 1.6406575014116243e-05)","('N2MW', 1.1639574040600564e-05)"
VHWSX4V,"('K6QO', 0.9545802474021912)","('P5DA', 0.0220441706478595)","('QBOL', 0.0108663206920027)","('GHYX', 0.0032758931629359)","('N2MW', 0.002708381274715)"
YULJPNQ,"('JZ9D', 0.9991788268089294)","('PYUQ', 0.0003161773202009)","('QBOL', 0.0001750876108417)","('RVSZ', 0.0001453928125556)","('GHYX', 4.094306495971978e-05)"
CQ1L7DM,"('GHYX', 0.6269857287406921)","('RVSZ', 0.3053321838378906)","('66FJ', 0.0271615982055664)","('PYUQ', 0.0097758257761597)","('RIBP', 0.0097213825210928)"
B11PLLM,"('K6QO', 0.9832950234413148)","('QBOL', 0.0103538753464818)","('GHYX', 0.0032025997061282)","('ECY3', 0.0006861517322249)","('66FJ', 0.000613470794633)"
Q2WFWLN,"('PYUQ', 0.8192375302314758)","('RVSZ', 0.1189475953578949)","('QBOL', 0.027633337303996)","('7POT', 0.0137338824570178)","('N2MW', 0.0070680696517229)"
6K0KOFC,"('K6QO', 0.98790180683136)","('QBOL', 0.0038831667043268)","('PYUQ', 0.0031429587397724)","('GHYX', 0.0026732173282653)","('ECY3', 0.0009139699395745)"
YENKQRR,"('RVSZ', 0.999874711036682)","('N2MW', 3.1529612897429615e-05)","('PYUQ', 1.5885838365647942e-05)","('GHYX', 1.4937060768716036e-05)","('QBOL', 1.4780902347411027e-05)"
0VC6V6P,"('RVSZ', 0.99974125623703)","('GHYX', 0.0001588822487974)","('PYUQ', 4.05782884627115e-05)","('QBOL', 2.4664328520884737e-05)","('7POT', 8.276459084299859e-06)"
WKCWCUD,"('K6QO', 0.7746880650520325)","('QBOL', 0.1629801243543625)","('RIBP', 0.0291024111211299)","('ECY3', 0.0164145715534687)","('PYUQ', 0.0059098601341247)"
22T29TZ,"('RVSZ', 0.9997591376304626)","('QBOL', 0.0001042751318891)","('GHYX', 4.462142533157021e-05)","('PYUQ', 2.1737601855420507e-05)","('P5DA', 1.74093456735136e-05)"
H3A6VXZ,"('RVSZ', 0.9996672868728638)","('LJR9', 0.00015755178174)","('GHYX', 4.472557702683844e-05)","('7POT', 3.341132105560973e-05)","('RIBP', 2.297664832440205e-05)"
Y4Z9UUP,"('RVSZ', 0.4677825570106506)","('QBOL', 0.3369702696800232)","('ECY3', 0.0518796890974044)","('LJR9', 0.0506447814404964)","('N2MW', 0.0256360303610563)"
YDWBC04,"('K6QO', 0.9800671935081482)","('QBOL', 0.0057414998300373)","('RIBP', 0.0045750504359602)","('GHYX', 0.0038340196479111)","('66FJ', 0.001881354721263)"
58LI1I2,"('K6QO', 0.9675337672233582)","('QBOL', 0.0249049514532089)","('PYUQ', 0.0033594120759516)","('GHYX', 0.0010618433589115)","('ECY3', 0.0008976245298981)"
LFHR0H3,"('RVSZ', 0.9997866749763488)","('GHYX', 0.0001556812494527)","('QBOL', 1.500621874583885e-05)","('PYUQ', 9.859232704911848e-06)","('RIBP', 6.836152351752389e-06)"
GVDJOW8,"('K6QO', 0.6310621500015259)","('QBOL', 0.3085920214653015)","('GHYX', 0.0280589759349823)","('ECY3', 0.0238119587302207)","('N2MW', 0.0022763083688914)"
4BUAZFC,"('RVSZ', 0.9998701810836792)","('N2MW', 3.905735138687305e-05)","('ECY3', 1.7479576854384504e-05)","('GHYX', 1.3518690138880627e-05)","('QBOL', 1.120378692576196e-05)"
